"GEOID","Row_num","Name","tree_No","tree_Yes","Decision_Tree","forest_No","forest_Yes","Random_Forest","bayes_No","bayes_Yes","Naive_Bayes","new_blocks_xgboost","XGBoost","Agree","Median_Family_Income","Transp_Public_betw2024","Transp_Walked","est_female_25_29","HH_Nonfamily","Transp_Walked_betw1519","Transp_betw2024","HH_Other","HH_Alone","est_male_25_29","CENTLAT","CENTLON"
"170310204003",2206,"Block Group 3, Census Tract 204, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.812,0.188,0,1,1.90875467681468e-32,0,0.0227690096944571,0,0,46648,0,16,33,306,0,62,144,247,31,42.0061672,-87.6853658
"170310206013",2207,"Block Group 3, Census Tract 206.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.794,0.206,0,1,3.73274259987291e-36,0,0.131748422980309,0,0,93203,0,0,43,186,0,58,38,174,55,41.9993901,-87.6990857
"170310206023",2208,"Block Group 3, Census Tract 206.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.66,0.34,0,1,3.8578811852615e-31,0,0.0942346677184105,0,0,33250,0,150,90,53,48,54,148,18,113,41.9994521,-87.6954232
"170310207023",2209,"Block Group 3, Census Tract 207.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.81,0.19,0,1,7.89766408485767e-30,0,0.0225686710327864,0,0,37008,0,3,0,135,0,56,85,108,48,41.99219,-87.701883
"170310208023",2210,"Block Group 3, Census Tract 208.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.62,0.38,0,0.999811023986168,0.000188976013831803,0,0.110279329121113,0,0,40377,26,208,153,190,44,117,246,111,58,41.9958052,-87.6971367
"170312105023",2211,"Block Group 3, Census Tract 2105.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.802,0.198,0,1,4.11556612836045e-34,0,0.0282834712415934,0,0,43542,27,0,0,141,0,220,113,88,80,41.9336651,-87.7255302
"170312106013",2212,"Block Group 3, Census Tract 2106.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.732,0.268,0,1,3.51942868871822e-31,0,0.21575078368187,0,0,62900,66,8,106,207,0,109,120,117,69,41.9378718,-87.7153055
"170312107003",2213,"Block Group 3, Census Tract 2107, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.768,0.232,0,1,9.14889102801514e-21,0,0.0385643877089024,0,0,44028,0,53,78,281,14,42,99,164,163,41.9366145,-87.7051052
"170312205003",2214,"Block Group 3, Census Tract 2205, Cook County, Illinois",0.375,0.625,1,0.548,0.452,0,1,9.2187905004202e-35,0,0.47413495182991,1,0,71337,72,48,125,222,19,120,42,156,98,41.9303221,-87.7061599
"170312207013",2215,"Block Group 3, Census Tract 2207.01, Cook County, Illinois",0.375,0.625,1,0.594,0.406,0,1,6.16947050957146e-34,0,0.26152378320694,0,0,59808,90,23,73,183,14,176,192,88,133,41.9261365,-87.7240218
"170312207023",2216,"Block Group 3, Census Tract 2207.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.758,0.242,0,1,7.63982569992502e-38,0,0.100721627473831,0,0,84583,57,0,48,100,0,163,59,88,39,41.9294492,-87.7230761
"170312209013",2217,"Block Group 3, Census Tract 2209.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.808,0.192,0,1,3.8293993429781e-35,0,0.0177486557513475,0,0,42102,0,10,47,121,0,33,52,96,7,41.9193086,-87.723791
"170312211003",2218,"Block Group 3, Census Tract 2211, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.79,0.21,0,1,2.93275635251006e-34,0,0.0398817993700504,0,0,36173,45,8,78,135,0,122,113,50,99,41.9209966,-87.7128077
"170312306003",2219,"Block Group 3, Census Tract 2306, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.818,0.182,0,1,6.67184076974937e-36,0,0.0208398159593344,0,0,42404,0,0,47,10,0,29,69,10,0,41.9075689,-87.7301263
"170312307003",2220,"Block Group 3, Census Tract 2307, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.8,0.2,0,1,1.8590739402044e-39,0,0.0396747291088104,0,0,26679,0,0,49,64,0,22,129,50,84,41.9044543,-87.7238745
"170312309003",2221,"Block Group 3, Census Tract 2309, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.788,0.212,0,1,4.77824878274997e-38,0,0.0163969025015831,0,0,35995,0,9,88,191,0,22,86,173,27,41.9073203,-87.7130452
"170312312003",2222,"Block Group 3, Census Tract 2312, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.802,0.198,0,1,2.45196794256101e-37,0,0.0297989584505558,0,0,71337,21,0,23,95,0,56,95,74,24,41.8972323,-87.7218637
"170312315003",2223,"Block Group 3, Census Tract 2315, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.786,0.214,0,1,2.5519745575694e-38,0,0.0296937003731728,0,0,51397,0,0,0,38,0,0,48,38,17,41.8898639,-87.7222631
"170312420003",2224,"Block Group 3, Census Tract 2420, Cook County, Illinois",0.375,0.625,1,0.62,0.38,0,1,2.27692298137986e-25,0,0.160328596830368,0,0,53917,84,0,69,301,0,154,143,190,54,41.9024823,-87.6650756
"170312426003",2225,"Block Group 3, Census Tract 2426, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.728,0.272,0,1,1.45664706178423e-16,0,0.44427552819252,0,0,71337,32,0,103,345,0,304,155,205,197,41.8979592,-87.6926506
"170312434003",2226,"Block Group 3, Census Tract 2434, Cook County, Illinois",0.0952380952380952,0.904761904761905,1,0.158,0.842,1,1,9.44642920113436e-26,0,0.965889036655426,1,0,139276,86,90,172,407,0,139,25,228,104,41.8910842,-87.6607476
